"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3019","Create course","LMS system","Wed Jul 22 12:24:47 UTC 2026","passed","Wed Jul 22 12:24:50 UTC 2026","Courses","Courses","",""
"","2176","Registration with correct email, username and password","LMS system","Wed Jul 22 12:24:43 UTC 2026","passed","Wed Jul 22 12:24:45 UTC 2026","Registration","Authentication","",""
"","1675","User login with wrong email or password","LMS system","Wed Jul 22 12:24:41 UTC 2026","passed","Wed Jul 22 12:24:42 UTC 2026","Authorization","Authentication","",""
"","1883","User login with wrong email or password","LMS system","Wed Jul 22 12:24:39 UTC 2026","passed","Wed Jul 22 12:24:41 UTC 2026","Authorization","Authentication","",""
"","3359","Editing course","LMS system","Wed Jul 22 12:24:47 UTC 2026","passed","Wed Jul 22 12:24:51 UTC 2026","Courses","Courses","",""
"","1797","Check displaying of dashboard page","LMS system","Wed Jul 22 12:24:51 UTC 2026","passed","Wed Jul 22 12:24:53 UTC 2026","Dashboard","Dashboard","",""
"","2108","User login with wrong email or password","LMS system","Wed Jul 22 12:24:36 UTC 2026","passed","Wed Jul 22 12:24:38 UTC 2026","Authorization","Authentication","",""
"","1639","Navigation from login page to registration page","LMS system","Wed Jul 22 12:24:41 UTC 2026","passed","Wed Jul 22 12:24:43 UTC 2026","Authorization","Authentication","",""
"","1801","Check displaying of empty courses list","LMS system","Wed Jul 22 12:24:45 UTC 2026","passed","Wed Jul 22 12:24:47 UTC 2026","Courses","Courses","",""
"","3977","User login with correct email or password","LMS system","Wed Jul 22 12:24:36 UTC 2026","passed","Wed Jul 22 12:24:40 UTC 2026","Authorization","Authentication","",""
