"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1615","Check displaying of empty courses list","LMS system","Tue Jul 14 15:43:33 UTC 2026","passed","Tue Jul 14 15:43:34 UTC 2026","Courses","Courses","",""
"","1591","User login with wrong email or password","LMS system","Tue Jul 14 15:43:29 UTC 2026","passed","Tue Jul 14 15:43:30 UTC 2026","Authorization","Authentication","",""
"","1781","User login with wrong email or password","LMS system","Tue Jul 14 15:43:23 UTC 2026","passed","Tue Jul 14 15:43:25 UTC 2026","Authorization","Authentication","",""
"","3094","Editing course","LMS system","Tue Jul 14 15:43:35 UTC 2026","passed","Tue Jul 14 15:43:38 UTC 2026","Courses","Courses","",""
"","1807","User login with wrong email or password","LMS system","Tue Jul 14 15:43:25 UTC 2026","passed","Tue Jul 14 15:43:27 UTC 2026","Authorization","Authentication","",""
"","1851","Registration with correct email, username and password","LMS system","Tue Jul 14 15:43:30 UTC 2026","passed","Tue Jul 14 15:43:32 UTC 2026","Registration","Authentication","",""
"","2647","Create course","LMS system","Tue Jul 14 15:43:34 UTC 2026","passed","Tue Jul 14 15:43:36 UTC 2026","Courses","Courses","",""
"","5079","User login with correct email or password","LMS system","Tue Jul 14 15:43:23 UTC 2026","passed","Tue Jul 14 15:43:28 UTC 2026","Authorization","Authentication","",""
"","1935","Check displaying of dashboard page","LMS system","Tue Jul 14 15:43:37 UTC 2026","passed","Tue Jul 14 15:43:39 UTC 2026","Dashboard","Dashboard","",""
"","1736","Navigation from login page to registration page","LMS system","Tue Jul 14 15:43:28 UTC 2026","passed","Tue Jul 14 15:43:29 UTC 2026","Authorization","Authentication","",""
