"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1527","Check displaying of empty courses list","LMS system","Thu May 14 11:39:41 UTC 2026","passed","Thu May 14 11:39:43 UTC 2026","Courses","Courses","",""
"","3080","User login with correct email or password","LMS system","Thu May 14 11:39:33 UTC 2026","passed","Thu May 14 11:39:36 UTC 2026","Authorization","Authentication","",""
"","2035","Check displaying of dashboard page","LMS system","Thu May 14 11:39:46 UTC 2026","passed","Thu May 14 11:39:48 UTC 2026","Dashboard","Dashboard","",""
"","1585","User login with wrong email or password","LMS system","Thu May 14 11:39:37 UTC 2026","passed","Thu May 14 11:39:38 UTC 2026","Authorization","Authentication","",""
"","1632","Registration with correct email, username and password","LMS system","Thu May 14 11:39:39 UTC 2026","passed","Thu May 14 11:39:40 UTC 2026","Registration","Authentication","",""
"","2618","Create course","LMS system","Thu May 14 11:39:42 UTC 2026","passed","Thu May 14 11:39:45 UTC 2026","Courses","Courses","",""
"","1456","Navigation from login page to registration page","LMS system","Thu May 14 11:39:38 UTC 2026","passed","Thu May 14 11:39:39 UTC 2026","Authorization","Authentication","",""
"","3089","Editing course","LMS system","Thu May 14 11:39:43 UTC 2026","passed","Thu May 14 11:39:46 UTC 2026","Courses","Courses","",""
"","2000","User login with wrong email or password","LMS system","Thu May 14 11:39:33 UTC 2026","passed","Thu May 14 11:39:35 UTC 2026","Authorization","Authentication","",""
"","1716","User login with wrong email or password","LMS system","Thu May 14 11:39:36 UTC 2026","passed","Thu May 14 11:39:37 UTC 2026","Authorization","Authentication","",""
