"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1453","Check displaying of empty courses list","LMS system","Tue Jul 14 15:17:20 UTC 2026","passed","Tue Jul 14 15:17:21 UTC 2026","Courses","Courses","",""
"","1861","User login with wrong email or password","LMS system","Tue Jul 14 15:17:12 UTC 2026","passed","Tue Jul 14 15:17:14 UTC 2026","Authorization","Authentication","",""
"","2831","User login with correct email or password","LMS system","Tue Jul 14 15:17:12 UTC 2026","passed","Tue Jul 14 15:17:15 UTC 2026","Authorization","Authentication","",""
"","1411","Registration with correct email, username and password","LMS system","Tue Jul 14 15:17:19 UTC 2026","passed","Tue Jul 14 15:17:20 UTC 2026","Registration","Authentication","",""
"","1284","Check displaying of dashboard page","LMS system","Tue Jul 14 15:17:25 UTC 2026","passed","Tue Jul 14 15:17:26 UTC 2026","Dashboard","Dashboard","",""
"","1329","User login with wrong email or password","LMS system","Tue Jul 14 15:17:14 UTC 2026","passed","Tue Jul 14 15:17:16 UTC 2026","Authorization","Authentication","",""
"","1474","Navigation from login page to registration page","LMS system","Tue Jul 14 15:17:16 UTC 2026","passed","Tue Jul 14 15:17:18 UTC 2026","Authorization","Authentication","",""
"","2146","Create course","LMS system","Tue Jul 14 15:17:21 UTC 2026","passed","Tue Jul 14 15:17:24 UTC 2026","Courses","Courses","",""
"","2610","Editing course","LMS system","Tue Jul 14 15:17:22 UTC 2026","passed","Tue Jul 14 15:17:24 UTC 2026","Courses","Courses","",""
"","2872","User login with wrong email or password","LMS system","Tue Jul 14 15:17:15 UTC 2026","passed","Tue Jul 14 15:17:18 UTC 2026","Authorization","Authentication","",""
