"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2589","Editing course","LMS system","Tue Jul 14 17:53:28 UTC 2026","passed","Tue Jul 14 17:53:30 UTC 2026","Courses","Courses","",""
"","1430","User login with wrong email or password","LMS system","Tue Jul 14 17:53:20 UTC 2026","passed","Tue Jul 14 17:53:22 UTC 2026","Authorization","Authentication","",""
"","1651","User login with wrong email or password","LMS system","Tue Jul 14 17:53:17 UTC 2026","passed","Tue Jul 14 17:53:19 UTC 2026","Authorization","Authentication","",""
"","1286","Navigation from login page to registration page","LMS system","Tue Jul 14 17:53:21 UTC 2026","passed","Tue Jul 14 17:53:22 UTC 2026","Authorization","Authentication","",""
"","2582","User login with correct email or password","LMS system","Tue Jul 14 17:53:17 UTC 2026","passed","Tue Jul 14 17:53:20 UTC 2026","Authorization","Authentication","",""
"","1645","Check displaying of dashboard page","LMS system","Tue Jul 14 17:53:29 UTC 2026","passed","Tue Jul 14 17:53:31 UTC 2026","Dashboard","Dashboard","",""
"","1508","User login with wrong email or password","LMS system","Tue Jul 14 17:53:19 UTC 2026","passed","Tue Jul 14 17:53:21 UTC 2026","Authorization","Authentication","",""
"","2219","Create course","LMS system","Tue Jul 14 17:53:26 UTC 2026","passed","Tue Jul 14 17:53:29 UTC 2026","Courses","Courses","",""
"","2322","Registration with correct email, username and password","LMS system","Tue Jul 14 17:53:22 UTC 2026","passed","Tue Jul 14 17:53:24 UTC 2026","Registration","Authentication","",""
"","1539","Check displaying of empty courses list","LMS system","Tue Jul 14 17:53:25 UTC 2026","passed","Tue Jul 14 17:53:27 UTC 2026","Courses","Courses","",""
