"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3938","User login with correct email or password","LMS system","Wed Jul 22 11:55:25 UTC 2026","passed","Wed Jul 22 11:55:29 UTC 2026","Authorization","Authentication","",""
"","1784","User login with wrong email or password","LMS system","Wed Jul 22 11:55:30 UTC 2026","passed","Wed Jul 22 11:55:31 UTC 2026","Authorization","Authentication","",""
"","1695","Navigation from login page to registration page","LMS system","Wed Jul 22 11:55:30 UTC 2026","passed","Wed Jul 22 11:55:32 UTC 2026","Authorization","Authentication","",""
"","1931","User login with wrong email or password","LMS system","Wed Jul 22 11:55:28 UTC 2026","passed","Wed Jul 22 11:55:30 UTC 2026","Authorization","Authentication","",""
"","3405","Editing course","LMS system","Wed Jul 22 11:55:36 UTC 2026","passed","Wed Jul 22 11:55:40 UTC 2026","Courses","Courses","",""
"","2157","Registration with correct email, username and password","LMS system","Wed Jul 22 11:55:32 UTC 2026","passed","Wed Jul 22 11:55:34 UTC 2026","Registration","Authentication","",""
"","1695","Check displaying of empty courses list","LMS system","Wed Jul 22 11:55:34 UTC 2026","passed","Wed Jul 22 11:55:36 UTC 2026","Courses","Courses","",""
"","1824","Check displaying of dashboard page","LMS system","Wed Jul 22 11:55:40 UTC 2026","passed","Wed Jul 22 11:55:41 UTC 2026","Dashboard","Dashboard","",""
"","2809","Create course","LMS system","Wed Jul 22 11:55:36 UTC 2026","passed","Wed Jul 22 11:55:39 UTC 2026","Courses","Courses","",""
"","2079","User login with wrong email or password","LMS system","Wed Jul 22 11:55:25 UTC 2026","passed","Wed Jul 22 11:55:27 UTC 2026","Authorization","Authentication","",""
