"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2145","User login with wrong email or password","LMS system","Mon Jun 01 16:05:09 UTC 2026","passed","Mon Jun 01 16:05:11 UTC 2026","Authorization","Authentication","",""
"","3231","Editing course","LMS system","Mon Jun 01 16:05:18 UTC 2026","passed","Mon Jun 01 16:05:21 UTC 2026","Courses","Courses","",""
"","1858","Registration with correct email, username and password","LMS system","Mon Jun 01 16:05:13 UTC 2026","passed","Mon Jun 01 16:05:15 UTC 2026","Registration","Authentication","",""
"","2118","User login with wrong email or password","LMS system","Mon Jun 01 16:05:06 UTC 2026","passed","Mon Jun 01 16:05:08 UTC 2026","Authorization","Authentication","",""
"","1915","Check displaying of dashboard page","LMS system","Mon Jun 01 16:05:21 UTC 2026","passed","Mon Jun 01 16:05:23 UTC 2026","Dashboard","Dashboard","",""
"","1723","Check displaying of empty courses list","LMS system","Mon Jun 01 16:05:16 UTC 2026","passed","Mon Jun 01 16:05:17 UTC 2026","Courses","Courses","",""
"","2576","Create course","LMS system","Mon Jun 01 16:05:17 UTC 2026","passed","Mon Jun 01 16:05:20 UTC 2026","Courses","Courses","",""
"","1838","User login with wrong email or password","LMS system","Mon Jun 01 16:05:11 UTC 2026","passed","Mon Jun 01 16:05:13 UTC 2026","Authorization","Authentication","",""
"","1704","Navigation from login page to registration page","LMS system","Mon Jun 01 16:05:12 UTC 2026","passed","Mon Jun 01 16:05:13 UTC 2026","Authorization","Authentication","",""
"","4228","User login with correct email or password","LMS system","Mon Jun 01 16:05:06 UTC 2026","passed","Mon Jun 01 16:05:10 UTC 2026","Authorization","Authentication","",""
