"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1952","User login with wrong email or password","LMS system","Thu May 14 12:16:55 UTC 2026","passed","Thu May 14 12:16:57 UTC 2026","Authorization","Authentication","",""
"","2737","Create course","LMS system","Thu May 14 12:17:03 UTC 2026","passed","Thu May 14 12:17:06 UTC 2026","Courses","Courses","",""
"","1987","User login with wrong email or password","LMS system","Thu May 14 12:16:56 UTC 2026","passed","Thu May 14 12:16:58 UTC 2026","Authorization","Authentication","",""
"","3518","User login with correct email or password","LMS system","Thu May 14 12:16:52 UTC 2026","passed","Thu May 14 12:16:56 UTC 2026","Authorization","Authentication","",""
"","2116","User login with wrong email or password","LMS system","Thu May 14 12:16:52 UTC 2026","passed","Thu May 14 12:16:54 UTC 2026","Authorization","Authentication","",""
"","1739","Check displaying of empty courses list","LMS system","Thu May 14 12:17:01 UTC 2026","passed","Thu May 14 12:17:03 UTC 2026","Courses","Courses","",""
"","1715","Check displaying of dashboard page","LMS system","Thu May 14 12:17:07 UTC 2026","passed","Thu May 14 12:17:08 UTC 2026","Dashboard","Dashboard","",""
"","2205","Registration with correct email, username and password","LMS system","Thu May 14 12:16:59 UTC 2026","passed","Thu May 14 12:17:01 UTC 2026","Registration","Authentication","",""
"","1625","Navigation from login page to registration page","LMS system","Thu May 14 12:16:57 UTC 2026","passed","Thu May 14 12:16:59 UTC 2026","Authorization","Authentication","",""
"","3173","Editing course","LMS system","Thu May 14 12:17:04 UTC 2026","passed","Thu May 14 12:17:07 UTC 2026","Courses","Courses","",""
