"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1833","User login with wrong email or password","LMS system","Wed Jul 22 12:20:40 UTC 2026","passed","Wed Jul 22 12:20:42 UTC 2026","Authorization","Authentication","",""
"","2037","User login with wrong email or password","LMS system","Wed Jul 22 12:20:37 UTC 2026","passed","Wed Jul 22 12:20:39 UTC 2026","Authorization","Authentication","",""
"","2341","Create course","LMS system","Wed Jul 22 12:20:47 UTC 2026","passed","Wed Jul 22 12:20:49 UTC 2026","Courses","Courses","",""
"","1669","Registration with correct email, username and password","LMS system","Wed Jul 22 12:20:43 UTC 2026","passed","Wed Jul 22 12:20:45 UTC 2026","Registration","Authentication","",""
"","1490","Navigation from login page to registration page","LMS system","Wed Jul 22 12:20:42 UTC 2026","passed","Wed Jul 22 12:20:44 UTC 2026","Authorization","Authentication","",""
"","1881","Check displaying of dashboard page","LMS system","Wed Jul 22 12:20:50 UTC 2026","passed","Wed Jul 22 12:20:52 UTC 2026","Dashboard","Dashboard","",""
"","1561","Check displaying of empty courses list","LMS system","Wed Jul 22 12:20:46 UTC 2026","passed","Wed Jul 22 12:20:47 UTC 2026","Courses","Courses","",""
"","1682","User login with wrong email or password","LMS system","Wed Jul 22 12:20:41 UTC 2026","passed","Wed Jul 22 12:20:43 UTC 2026","Authorization","Authentication","",""
"","3018","Editing course","LMS system","Wed Jul 22 12:20:48 UTC 2026","passed","Wed Jul 22 12:20:51 UTC 2026","Courses","Courses","",""
"","3267","User login with correct email or password","LMS system","Wed Jul 22 12:20:37 UTC 2026","passed","Wed Jul 22 12:20:41 UTC 2026","Authorization","Authentication","",""
