"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1823","User login with wrong email or password","LMS system","Wed Jul 22 12:09:57 UTC 2026","passed","Wed Jul 22 12:09:59 UTC 2026","Authorization","Authentication","",""
"","1702","Registration with correct email, username and password","LMS system","Wed Jul 22 12:10:00 UTC 2026","passed","Wed Jul 22 12:10:02 UTC 2026","Registration","Authentication","",""
"","2884","Editing course","LMS system","Wed Jul 22 12:10:05 UTC 2026","passed","Wed Jul 22 12:10:08 UTC 2026","Courses","Courses","",""
"","1569","Check displaying of empty courses list","LMS system","Wed Jul 22 12:10:03 UTC 2026","passed","Wed Jul 22 12:10:05 UTC 2026","Courses","Courses","",""
"","1987","User login with wrong email or password","LMS system","Wed Jul 22 12:09:54 UTC 2026","passed","Wed Jul 22 12:09:56 UTC 2026","Authorization","Authentication","",""
"","1950","Check displaying of dashboard page","LMS system","Wed Jul 22 12:10:07 UTC 2026","passed","Wed Jul 22 12:10:09 UTC 2026","Dashboard","Dashboard","",""
"","2302","Create course","LMS system","Wed Jul 22 12:10:04 UTC 2026","passed","Wed Jul 22 12:10:06 UTC 2026","Courses","Courses","",""
"","3221","User login with correct email or password","LMS system","Wed Jul 22 12:09:54 UTC 2026","passed","Wed Jul 22 12:09:58 UTC 2026","Authorization","Authentication","",""
"","1638","User login with wrong email or password","LMS system","Wed Jul 22 12:09:58 UTC 2026","passed","Wed Jul 22 12:10:00 UTC 2026","Authorization","Authentication","",""
"","1537","Navigation from login page to registration page","LMS system","Wed Jul 22 12:09:59 UTC 2026","passed","Wed Jul 22 12:10:01 UTC 2026","Authorization","Authentication","",""
