"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1659","Navigation from login page to registration page","LMS system","Wed May 13 16:21:06 UTC 2026","passed","Wed May 13 16:21:07 UTC 2026","Authorization","Authentication","",""
"","1810","Registration with correct email, username and password","LMS system","Wed May 13 16:21:07 UTC 2026","passed","Wed May 13 16:21:09 UTC 2026","Registration","Authentication","",""
"","1981","User login with wrong email or password","LMS system","Wed May 13 16:21:03 UTC 2026","passed","Wed May 13 16:21:05 UTC 2026","Authorization","Authentication","",""
"","2405","User login with wrong email or password","LMS system","Wed May 13 16:21:00 UTC 2026","passed","Wed May 13 16:21:02 UTC 2026","Authorization","Authentication","",""
"","3056","Editing course","LMS system","Wed May 13 16:21:12 UTC 2026","passed","Wed May 13 16:21:15 UTC 2026","Courses","Courses","",""
"","2198","User login with wrong email or password","LMS system","Wed May 13 16:21:05 UTC 2026","passed","Wed May 13 16:21:07 UTC 2026","Authorization","Authentication","",""
"","2758","Create course","LMS system","Wed May 13 16:21:11 UTC 2026","passed","Wed May 13 16:21:14 UTC 2026","Courses","Courses","",""
"","4004","User login with correct email or password","LMS system","Wed May 13 16:21:00 UTC 2026","passed","Wed May 13 16:21:04 UTC 2026","Authorization","Authentication","",""
"","1756","Check displaying of dashboard page","LMS system","Wed May 13 16:21:15 UTC 2026","passed","Wed May 13 16:21:16 UTC 2026","Dashboard","Dashboard","",""
"","1667","Check displaying of empty courses list","LMS system","Wed May 13 16:21:10 UTC 2026","passed","Wed May 13 16:21:11 UTC 2026","Courses","Courses","",""
