"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2078","User login with wrong email or password","LMS system","Thu May 14 11:46:34 UTC 2026","passed","Thu May 14 11:46:36 UTC 2026","Authorization","Authentication","",""
"","1744","User login with wrong email or password","LMS system","Thu May 14 11:46:36 UTC 2026","passed","Thu May 14 11:46:38 UTC 2026","Authorization","Authentication","",""
"","3016","Editing course","LMS system","Thu May 14 11:46:44 UTC 2026","passed","Thu May 14 11:46:47 UTC 2026","Courses","Courses","",""
"","1842","Check displaying of dashboard page","LMS system","Thu May 14 11:46:46 UTC 2026","passed","Thu May 14 11:46:48 UTC 2026","Dashboard","Dashboard","",""
"","1809","Registration with correct email, username and password","LMS system","Thu May 14 11:46:40 UTC 2026","passed","Thu May 14 11:46:41 UTC 2026","Registration","Authentication","",""
"","2500","Create course","LMS system","Thu May 14 11:46:43 UTC 2026","passed","Thu May 14 11:46:46 UTC 2026","Courses","Courses","",""
"","1539","Check displaying of empty courses list","LMS system","Thu May 14 11:46:42 UTC 2026","passed","Thu May 14 11:46:44 UTC 2026","Courses","Courses","",""
"","1516","Navigation from login page to registration page","LMS system","Thu May 14 11:46:39 UTC 2026","passed","Thu May 14 11:46:40 UTC 2026","Authorization","Authentication","",""
"","3187","User login with correct email or password","LMS system","Thu May 14 11:46:34 UTC 2026","passed","Thu May 14 11:46:37 UTC 2026","Authorization","Authentication","",""
"","1643","User login with wrong email or password","LMS system","Thu May 14 11:46:38 UTC 2026","passed","Thu May 14 11:46:39 UTC 2026","Authorization","Authentication","",""
