"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1822","Check displaying of dashboard page","LMS system","Tue Jul 14 15:07:29 UTC 2026","passed","Tue Jul 14 15:07:31 UTC 2026","Dashboard","Dashboard","",""
"","4026","User login with correct email or password","LMS system","Tue Jul 14 15:07:14 UTC 2026","passed","Tue Jul 14 15:07:18 UTC 2026","Authorization","Authentication","",""
"","3267","Editing course","LMS system","Tue Jul 14 15:07:26 UTC 2026","passed","Tue Jul 14 15:07:29 UTC 2026","Courses","Courses","",""
"","2151","User login with wrong email or password","LMS system","Tue Jul 14 15:07:14 UTC 2026","passed","Tue Jul 14 15:07:17 UTC 2026","Authorization","Authentication","",""
"","1718","User login with wrong email or password","LMS system","Tue Jul 14 15:07:19 UTC 2026","passed","Tue Jul 14 15:07:21 UTC 2026","Authorization","Authentication","",""
"","1713","Check displaying of empty courses list","LMS system","Tue Jul 14 15:07:23 UTC 2026","passed","Tue Jul 14 15:07:25 UTC 2026","Courses","Courses","",""
"","2825","Create course","LMS system","Tue Jul 14 15:07:25 UTC 2026","passed","Tue Jul 14 15:07:28 UTC 2026","Courses","Courses","",""
"","1754","Registration with correct email, username and password","LMS system","Tue Jul 14 15:07:21 UTC 2026","passed","Tue Jul 14 15:07:23 UTC 2026","Registration","Authentication","",""
"","1614","Navigation from login page to registration page","LMS system","Tue Jul 14 15:07:20 UTC 2026","passed","Tue Jul 14 15:07:21 UTC 2026","Authorization","Authentication","",""
"","1912","User login with wrong email or password","LMS system","Tue Jul 14 15:07:17 UTC 2026","passed","Tue Jul 14 15:07:19 UTC 2026","Authorization","Authentication","",""
