"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1510","User login with wrong email or password","LMS system","Tue Jul 14 16:06:53 UTC 2026","passed","Tue Jul 14 16:06:55 UTC 2026","Authorization","Authentication","",""
"","1707","Navigation from login page to registration page","LMS system","Tue Jul 14 16:06:55 UTC 2026","passed","Tue Jul 14 16:06:56 UTC 2026","Authorization","Authentication","",""
"","1517","User login with wrong email or password","LMS system","Tue Jul 14 16:06:53 UTC 2026","passed","Tue Jul 14 16:06:54 UTC 2026","Authorization","Authentication","",""
"","2710","User login with correct email or password","LMS system","Tue Jul 14 16:06:50 UTC 2026","passed","Tue Jul 14 16:06:53 UTC 2026","Authorization","Authentication","",""
"","2175","Create course","LMS system","Tue Jul 14 16:06:59 UTC 2026","passed","Tue Jul 14 16:07:01 UTC 2026","Courses","Courses","",""
"","1426","Check displaying of empty courses list","LMS system","Tue Jul 14 16:06:58 UTC 2026","passed","Tue Jul 14 16:06:59 UTC 2026","Courses","Courses","",""
"","1629","Registration with correct email, username and password","LMS system","Tue Jul 14 16:06:55 UTC 2026","passed","Tue Jul 14 16:06:57 UTC 2026","Registration","Authentication","",""
"","1719","Check displaying of dashboard page","LMS system","Tue Jul 14 16:07:02 UTC 2026","passed","Tue Jul 14 16:07:03 UTC 2026","Dashboard","Dashboard","",""
"","2641","Editing course","LMS system","Tue Jul 14 16:07:00 UTC 2026","passed","Tue Jul 14 16:07:03 UTC 2026","Courses","Courses","",""
"","1878","User login with wrong email or password","LMS system","Tue Jul 14 16:06:50 UTC 2026","passed","Tue Jul 14 16:06:52 UTC 2026","Authorization","Authentication","",""
