"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3669","Editing course","LMS system","Wed Jul 22 12:51:21 UTC 2026","passed","Wed Jul 22 12:51:25 UTC 2026","Courses","Courses","",""
"","2203","User login with wrong email or password","LMS system","Wed Jul 22 12:51:09 UTC 2026","passed","Wed Jul 22 12:51:11 UTC 2026","Authorization","Authentication","",""
"","4404","User login with correct email or password","LMS system","Wed Jul 22 12:51:09 UTC 2026","passed","Wed Jul 22 12:51:13 UTC 2026","Authorization","Authentication","",""
"","1975","Check displaying of empty courses list","LMS system","Wed Jul 22 12:51:19 UTC 2026","passed","Wed Jul 22 12:51:21 UTC 2026","Courses","Courses","",""
"","2109","Navigation from login page to registration page","LMS system","Wed Jul 22 12:51:14 UTC 2026","passed","Wed Jul 22 12:51:16 UTC 2026","Authorization","Authentication","",""
"","2063","User login with wrong email or password","LMS system","Wed Jul 22 12:51:12 UTC 2026","passed","Wed Jul 22 12:51:14 UTC 2026","Authorization","Authentication","",""
"","3299","Create course","LMS system","Wed Jul 22 12:51:20 UTC 2026","passed","Wed Jul 22 12:51:24 UTC 2026","Courses","Courses","",""
"","1854","User login with wrong email or password","LMS system","Wed Jul 22 12:51:14 UTC 2026","passed","Wed Jul 22 12:51:16 UTC 2026","Authorization","Authentication","",""
"","2168","Registration with correct email, username and password","LMS system","Wed Jul 22 12:51:16 UTC 2026","passed","Wed Jul 22 12:51:18 UTC 2026","Registration","Authentication","",""
"","1962","Check displaying of dashboard page","LMS system","Wed Jul 22 12:51:25 UTC 2026","passed","Wed Jul 22 12:51:27 UTC 2026","Dashboard","Dashboard","",""
