"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1825","Create course","LMS system","Tue Jul 14 15:52:06 UTC 2026","passed","Tue Jul 14 15:52:08 UTC 2026","Courses","Courses","",""
"","1446","Check displaying of dashboard page","LMS system","Tue Jul 14 15:52:09 UTC 2026","passed","Tue Jul 14 15:52:10 UTC 2026","Dashboard","Dashboard","",""
"","2232","Editing course","LMS system","Tue Jul 14 15:52:07 UTC 2026","passed","Tue Jul 14 15:52:09 UTC 2026","Courses","Courses","",""
"","2279","User login with correct email or password","LMS system","Tue Jul 14 15:51:59 UTC 2026","passed","Tue Jul 14 15:52:01 UTC 2026","Authorization","Authentication","",""
"","1377","Check displaying of empty courses list","LMS system","Tue Jul 14 15:52:05 UTC 2026","passed","Tue Jul 14 15:52:07 UTC 2026","Courses","Courses","",""
"","1670","User login with wrong email or password","LMS system","Tue Jul 14 15:51:59 UTC 2026","passed","Tue Jul 14 15:52:00 UTC 2026","Authorization","Authentication","",""
"","1259","User login with wrong email or password","LMS system","Tue Jul 14 15:52:01 UTC 2026","passed","Tue Jul 14 15:52:03 UTC 2026","Authorization","Authentication","",""
"","1426","User login with wrong email or password","LMS system","Tue Jul 14 15:52:01 UTC 2026","passed","Tue Jul 14 15:52:02 UTC 2026","Authorization","Authentication","",""
"","1384","Navigation from login page to registration page","LMS system","Tue Jul 14 15:52:02 UTC 2026","passed","Tue Jul 14 15:52:04 UTC 2026","Authorization","Authentication","",""
"","1406","Registration with correct email, username and password","LMS system","Tue Jul 14 15:52:03 UTC 2026","passed","Tue Jul 14 15:52:04 UTC 2026","Registration","Authentication","",""
